18,Adrian Sutil,Force India Mercedes,0
19,Robert Kubica,Renault,0
20,Nico Hulkenberg,Williams Cosworth,0
21,Felipe Massa,Ferrari,0
22,Vitaly Petrov,Renault,0
23,Vitantonio Liuzzi,Force India Mercedes,0
24,Lucas di Grassi,Virgin Cosworth,0
1,Fernando Alonso,Ferrari,25
2,Lewis Hamilton,McLaren Mercedes,18
3,Felipe Massa,Ferrari,15
4,Michael Schumacher,Mercedes,12
5,Robert Kubica,Renault,10
6,Vitantonio Liuzzi,Force India Mercedes,8
7,Rubens Barrichello,Williams Cosworth,6
8,Kamui Kobayashi,Sauber Ferrari,4
9,Nick Heidfeld,Sauber Ferrari,2
10,Nico Hulkenberg,Williams Cosworth,1
11,Jaime Alguersuari,STR Ferrari,0
12,Jenson Button,McLaren Mercedes,0
13,Heikki Kovalainen,Lotus Cosworth,0
14,Bruno Senna,HRT Cosworth,0
15,Sakon Yamamoto,HRT Cosworth,0
16,Adrian Sutil,Force India Mercedes,0
17,Sebastian Vettel,RBR Renault,0
18,Vitaly Petrov,Renault,0
19,Timo Glock,Virgin Cosworth,0
20,Sebastien Buemi,STR Ferrari,0
21,Lucas di Grassi,Virgin Cosworth,0
22,Jarno Trulli,Lotus Cosworth,0
23,Mark Webber,RBR Renault,0
24,Nico Rosberg,Mercedes,0
1,Sebastian Vettel,RBR Renault,25
2,Mark Webber,RBR Renault,18
3,Fernando Alonso,Ferrari,15
4,Lewis Hamilton,McLaren Mercedes,12
5,Jenson Button,McLaren Mercedes,10
6,Nico Rosberg,Mercedes,8
7,Michael Schumacher,Mercedes,6
8,Nico Hulkenberg,Williams Cosworth,4
9,Robert Kubica,Renault,2
10,Kamui Kobayashi,Sauber Ferrari,1
11,Jaime Alguersuari,STR Ferrari,0
12,Adrian Sutil,Force India Mercedes,0
13,Sebastien Buemi,STR Ferrari,0
14,Rubens Barrichello,Williams Cosworth,0
15,Felipe Massa,Ferrari,0
16,Vitaly Petrov,Renault,0
17,Nick Heidfeld,Sauber Ferrari,0
18,Heikki Kovalainen,Lotus Cosworth,0
19,Jarno Trulli,Lotus Cosworth,0
20,Timo Glock,Virgin Cosworth,0
21,Bruno Senna,HRT Cosworth,0
22,Christian Klien,HRT Cosworth,0
23,Lucas di Grassi,Virgin Cosworth,0
24,Vitantonio Liuzzi,Force India Mercedes,0
